expression,desc
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_actrtn6m * mdl177_earningsmomemtummodel_fc_numrevy1_alt / (fnd6_txs + 0.001)), subindustry), 10)",结合6个月实际收益率与分析师修正动量，并利用税收支出进行市值中性化后的财务过滤，捕捉盈余超预期信号。
"ts_decay_linear(group_neutralize(rank(abnormal_return_earnings_release / (mdl77_liquidityriskfactor_tobinq + 0.001)), subindustry), 12)",通过托宾Q值对财报发布后的异常收益进行标准化，剔除估值过高标的，提取纯净的盈余公告后漂移（PEAD）效应。
"ts_decay_linear(group_neutralize(rank(mdl177_liquidityriskfactor_nlvolcap_alt * fn_comprehensive_income_net_of_tax_a / (fnd6_optrfr + 0.001)), subindustry), 5)",将非线性容量波动风险与净利润率相结合，旨在子行业内部寻找财务基本面稳健且具备波动溢价的资产。
"ts_decay_linear(group_neutralize(rank(mdl177_2_industryrrelativevaluefactor_curindsp_ / (fnd6_newa2v1300_spceeps + 0.001)), subindustry), 15)",利用行业相对价值因子结合特殊EPS调整后的收益，在消除行业Beta后挖掘底层资产的相对估值差。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp * fnd6_newa1v1300_ano), subindustry), 10)",结合价格动量的变异系数与分析师覆盖频次，识别在分析师关注度高且波动率受控下的趋势延续特征。
"ts_decay_linear(group_neutralize(rank(mdl77_2gdna_epschgetr + fnd6_ein / (fnd6_fatc + 0.001)), subindustry), 20)",通过EPS变动轨迹与权益投资收益比率的复合，利用固定资产周转率去中心化，捕捉高质量增长信号。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomentumfactor_chg6malpha18m * fnd6_cipen / (fnd6_ivaco + 0.001)), subindustry), 10)",将长期价格Alpha与养老金负债调整项结合，并以库存价值变动进行风险对冲，过滤市值相关的虚假动量。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_fc_curindfwdep_ * fnd6_state), subindustry), 5)",行业前瞻依赖模型与财务州级状态因子的交互，旨在通过宏观财务分布修正行业内的个股偏好。
"ts_decay_linear(group_neutralize(rank(mdl77_liquidityriskfactor_tobinq / (mdl77_2gdna_epschgetr + 0.001)), subindustry), 10)",托宾Q值与EPS变化率的反向比值，识别在行业内部被市场低估且盈利增长稳健的去市值Alpha。
"ts_decay_linear(group_neutralize(rank(mdl177_earningsmomemtummodel_fc_numrevy1_alt * fn_comprehensive_income_net_of_tax_a / (fnd6_fatc + 0.001)), subindustry), 12)",分析师一致预期修正与综合收益的乘积模型，并由固定资产配置效率进行缩放，强化盈余弹性。
"ts_decay_linear(group_neutralize(rank(abnormal_return_earnings_release * fnd6_newa1v1300_ano / (fnd6_txs + 0.001)), subindustry), 8)",财报异常收益在分析师关注度下的杠杆效应，通过税务杠杆中性化，聚焦纯粹的非预期盈利表现。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp / (fnd6_optrfr + 0.001)), subindustry), 10)",价格动量波动性对营业收入的穿透分析，在子行业内剥离由于公司规模扩张带来的Beta收益。
"ts_decay_linear(group_neutralize(rank(mdl177_2_industryrrelativevaluefactor_curindsp_ * fnd6_ivaco), subindustry), 5)",行业相对价值与存货计价变动的交互因子，反映在不同库存周期下的行业估值修复逻辑。
"ts_decay_linear(group_neutralize(rank(mdl177_liquidityriskfactor_nlvolcap_alt - fnd6_cipen / (fnd6_newa2v1300_spceeps + 0.001)), subindustry), 10)",非线性波动容量与养老金调整项的残差逻辑，旨在剥离财务隐性负债对流动性溢价的冲击。
"ts_decay_linear(group_neutralize(rank(mdl77_2pricemomentumfactor_chg6malpha18m / (mdl177_2_globaldevnorthamerica_v502_fc_curindfwdep_ + 0.001)), subindustry), 15)",对长期超额收益进行行业前瞻依赖度的敏感性剥离，获取不受行业周期Beta影响的纯净动量。
"ts_decay_linear(group_neutralize(rank(fnd6_ein * mdl177_earningsmomemtummodel_fc_numrevy1_alt / (fnd6_state + 0.001)), subindustry), 10)",权益投资收益与盈利预测修正的结合，通过区域财务特征进行截面中性化处理。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_actrtn6m - ts_mean(mdl177_2_globaldevnorthamerica_v502_actrtn6m, 20)), subindustry), 20)",6个月实际收益率的短期偏离度，在子行业内寻找动量反转或均值回归的超额机会。
"ts_decay_linear(group_neutralize(rank(fnd6_fatc * fnd6_newa2v1300_spceeps / (mdl77_liquidityriskfactor_tobinq + 0.001)), subindustry), 10)",利用固定资产周转率和特殊项EPS衡量经营效率，并对托宾Q值进行估值去偏。
"ts_decay_linear(group_neutralize(rank(mdl177_2_pricemomentumfactor_cvpre90dp * abnormal_return_earnings_release), subindustry), 5)",动量变异系数与盈余激增信号的非线性组合，捕捉子行业内部由财报驱动的波动率溢价。
"ts_decay_linear(group_neutralize(rank(fn_comprehensive_income_net_of_tax_a / (fnd6_txs + fnd6_ivaco + 0.001)), subindustry), 12)",纯财务结构的Alpha，通过税务和库存变动对综合净收益进行质量校准，去除规模相关的盈利虚增。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y) - rank(fn_entity_common_stock_shares_out_q * fnd6_optprcby), subindustry), 10)",利用销售增长斜率因子，通过减去股本与期权价格乘积的秩来对冲市值规模效应，最后进行子行业中性化。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt / (rank(liabilities_curr) + 0.001)), subindustry), 12)",分析师价值模型因子，通过当前负债规模进行标准化处理，剔除大市值杠杆偏差，实现去市值化 Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_2garpanalystmodel_qgp_wratingchg) - rank(fnd6_rank), subindustry), 5)",结合 GARP 模型与分析师评级变更，通过减去综合基本面排名（fnd6_rank）来剥离头部市值公司的 Beta 贡献。
"ts_decay_linear(group_neutralize(rank(ttm_sales_to_enterprise_value / (rank(fn_entity_common_stock_shares_out_q) + 0.001)), subindustry), 10)",销售额与企业价值比率因子，利用总发行股本作为市值代理变量进行除法去噪，提取纯净估值信号。
"ts_decay_linear(group_neutralize(rank(mdl77_ooearningsmomemtummodel_fc_numrevy1) - rank(fnd6_newqv1300_spceepsp12), subindustry), 8)",盈利动量预测因子减去预期 EPS 的排名，旨在消除由市值驱动的分析师覆盖偏差。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_cfroi / (rank(fnd6_newqv1300_mibtq) + 0.001)), subindustry), 10)",现金流投资回报率（CFROI）因子，通过税前少数股东权益进行规模修正，剥离超大型企业的规模红利。
"ts_decay_linear(group_neutralize(rank(relative_valuation_rank_derivative) - rank(fnd6_newqv1300_ivltq), subindustry), 15)",相对估值排名的导数信号，通过减去长期负债排名来抵消因市值庞大导致的估值钝化。
"ts_decay_linear(group_neutralize(rank(mdl77_400_fcus / (rank(fnd2_q_flintasamt1expyfour) + 0.001)), subindustry), 10)",FCUS 专用模型因子，利用资产端财务变量作为市值调节因子进行缩放，获得去市值后的纯净模型残差。
"ts_decay_linear(group_neutralize(rank(mdl77_2fc_stdevfy1epsp) - rank(fnd6_newa1v1300_ano), subindustry), 7)",EPS 预测的标准差（波动率因子），减去分析师覆盖人数（ano）相关的规模影响，捕捉非市值相关的盈余不确定性。
"ts_decay_linear(group_neutralize(rank(mdl177_historicalgrowthfactor_salegstdev / (rank(fnd6_newqv1300_mibnq) + 0.001)), subindustry), 10)",销售增长波动的历史因子，通过非控制权益进行规模调整，中性化处理后保留纯粹的增长质量Alpha。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y * Relative_valuation_rank_derivative) - rank(fn_entity_common_stock_shares_out_q), subindustry), 10)",复合销售增长斜率与估值导数，通过直接减去股本秩，在复杂逻辑组合中强制剥离市值Beta。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt) - rank(fnd6_rank + liabilities_curr), subindustry), 12)",综合价值模型信号，通过联合基本面排名与负债总额构建规模防御因子，实现深度的去市值化。
"ts_decay_linear(group_neutralize(rank(mdl77_2garpanalystmodel_qgp_wratingchg / (rank(fnd6_newqv1300_spceepsp12) + 0.001)), subindustry), 9)",评级调整后的 GARP 模型，利用预测 EPS 的秩作为规模过滤，强化小盘及中盘成长股的超额收益。
"ts_decay_linear(group_neutralize(rank(ttm_sales_to_enterprise_value) - rank(mdl177_historicalgrowthfactor_salegstdev), subindustry), 11)",利用估值因子减去增长波动率因子的秩，间接通过因子间的相互抵消实现对市值相关波动性的对冲。
"ts_decay_linear(group_neutralize(rank(mdl77_ooearningsmomemtummodel_fc_numrevy1 / (rank(fnd2_q_flintasamt1expyfour) + 0.001)), subindustry), 8)",盈利动量因子对资产规模因子的回归残差模拟，通过比率方式剔除市值对预测修正数量的放大作用。
"ts_decay_linear(group_neutralize(rank(mdl177_2_globaldevnorthamerica_v502_cfroi - mdl77_2fc_stdevfy1epsp), subindustry), 10)",现金流回报减去分析师预测标准差，通过两个异质因子的差值抵消共有的市值敞口，提取质量溢价。
"ts_decay_linear(group_neutralize(rank(mdl77_400_fcus) - rank(fnd6_newqv1300_ivltq * fnd6_optprcby), subindustry), 13)",基于 FCUS 模型的逻辑，通过剔除受市值影响严重的长期投资与资产价格乘积，保留去市值化的核心动力。
"ts_decay_linear(group_neutralize(rank(relative_valuation_rank_derivative / (rank(fnd6_newqv1300_mibtq) + 0.001)), subindustry), 6)",估值变动率因子，通过少数股东溢价规模进行去市值化，识别子行业内部被低估的纯净信号。
"ts_decay_linear(group_neutralize(rank(mdl77_historicalgrowthfactor_slope4qsales3y) - rank(liabilities_curr + fn_entity_common_stock_shares_out_q), subindustry), 14)",销售增长因子与规模代理变量（负债+股本）的秩剥离，旨在消除大市值公司增长陷阱对 Alpha 的干扰。
"ts_decay_linear(group_neutralize(rank(mdl177_valueanalystmodel_qva_earnval_alt * mdl77_ooearningsmomemtummodel_fc_numrevy1) / (rank(fnd6_rank) + 0.001), subindustry), 10)",高阶价值动量复合因子，通过总排名因子的秩进行去市值标准化，确保在 TOP3000 中具有风格一致性。
"group_neutralize(ts_decay_linear(-rank(rp_css_legal / (rp_nip_legal + 0.001)), 10), subindustry)",法律情绪得分与影响力预测的比值反转，捕捉过度定价的法律风险残差。
"group_neutralize(ts_decay_linear(-ts_zscore(rp_css_partner + rp_ess_partner, 20), 12), subindustry)",合伙伙伴相关情绪得分累加的20日Z-score反转，剥离长期合作关系情绪动量。
"group_neutralize(ts_decay_linear(-rank(news_mins_4_pct_up / (news_atr14 + 0.001)), 15), subindustry)",极高涨幅新闻频率与波动率的比值反转，寻找由情绪激发的过热特质点。
